revenue|sales|city
1602169|4|Cambridge
1529541|2|Cambridge
1576443|3|Cambridge
582357|4|Oxford
669205|2|Oxford
1287411|3|Durham
1342836|3|Durham
480691|3|Oxford
1009803|3|Durham
1665544|3|Cambridge
1759895|3|Cambridge
794751|2|Oxford
1149476|4|Durham
732859|4|Oxford
1176943|4|Durham
683109|3|Oxford
194744|2|London
747470|3|Oxford
1469405|2|Cambridge
174022|3|London
55684|1|London
101292|3|London
952518|3|Durham
807174|3|Oxford
787147|2|Oxford
736264|3|Oxford
1084952|3|Durham
1290000|1|Durham
1718511|3|Cambridge
854369|2|Oxford
694017|3|Oxford
1595555|2|Cambridge
1276901|4|Durham
1267700|3|Durham
1703843|3|Cambridge
495290|4|Oxford
1484225|2|Cambridge
1165164|3|Durham
35339|4|London
23812|2|London
1481953|3|Cambridge
384311|1|London
1742479|2|Cambridge
1311846|3|Durham
682033|2|Oxford
815810|4|Oxford
1103714|2|Durham
1647300|4|Cambridge
1193151|2|Durham
654298|3|Oxford
904088|3|Durham
493164|1|Oxford
240694|3|London
20168|3|London
805045|4|Oxford
591327|3|Oxford
1328369|4|Durham
1350876|2|Cambridge
493502|2|Oxford
784477|3|Oxford
1142783|3|Durham
11069|3|London
1631740|2|Cambridge
1490086|3|Cambridge
733242|3|Oxford
1039171|3|Durham
1654858|4|Cambridge
344605|3|London
1040962|4|Durham
341719|3|London
1669649|2|Cambridge
1130382|3|Durham
318124|3|London
1434691|3|Cambridge
389404|4|London
1261792|3|Durham
950181|3|Durham
1416977|3|Cambridge
457411|3|Oxford
200785|3|London
1230947|1|Durham
1280332|3|Durham
374171|3|London
1343433|3|Durham
1453142|3|Cambridge
511336|3|Oxford
521179|2|Oxford
663034|1|Oxford
1253874|3|Durham
917283|3|Durham
351198|3|London
1121293|3|Durham
1776665|4|Cambridge
1131010|4|Durham
1705655|3|Cambridge
646875|4|Oxford
1384879|3|Cambridge
231228|3|London
1693410|3|Cambridge
1091094|3|Durham
160814|1|London
884369|2|Oxford
99115|2|London
1574049|3|Cambridge
1584713|3|Cambridge
839337|4|Oxford
992845|2|Durham
1044540|4|Durham
266193|3|London
1173840|3|Durham
370753|1|London
1233139|3|Durham
873873|1|Oxford
388904|2|London
306403|2|London
1649689|4|Cambridge
1132322|4|Durham
277551|4|London
1757205|3|Cambridge
1652966|3|Cambridge
778210|3|Oxford
858334|2|Oxford
1158883|4|Durham
156564|4|London
1012837|1|Durham
73278|2|London
1567219|2|Cambridge
690628|3|Oxford
230201|3|London
1728766|1|Cambridge
1267468|1|Durham
299718|4|London
1758312|2|Cambridge
104318|3|London
542904|3|Oxford
704201|4|Oxford
221959|3|London
444904|3|London
1004626|2|Durham
556696|1|Oxford
1259531|3|Durham
1572424|3|Cambridge
1394311|3|Cambridge
1311849|3|Durham
402268|3|London
445164|4|London
169171|2|London
1789429|4|Cambridge
26241|3|London
1109216|4|Durham
1033|4|London
770123|3|Oxford
1207411|1|Durham
1533429|2|Cambridge
332736|4|London
1242036|3|Durham
560911|4|Oxford
880118|2|Oxford
17302|3|London
90610|3|London
1325455|1|Durham
700255|2|Oxford
1624633|4|Cambridge
362206|4|London
1509623|1|Cambridge
1662613|3|Cambridge
1565643|2|Cambridge
877471|3|Oxford
146067|3|London
1466283|3|Cambridge
389273|1|London
1335683|3|Durham
1772849|3|Cambridge
991890|2|Durham
1078077|2|Durham
1716351|1|Cambridge
843803|3|Oxford
1455125|1|Cambridge
1133451|2|Durham
287760|3|London
731288|3|Oxford
168822|3|London
1786805|3|Cambridge
873203|4|Oxford
1629154|3|Cambridge
1379305|3|Cambridge
127592|3|London
1656647|3|Cambridge
1534800|3|Cambridge
1242409|3|Durham
232351|4|London
1599908|4|Cambridge
1563018|2|Cambridge
593962|1|Oxford
309827|2|London
1129932|3|Durham
260602|1|London
429211|2|London
1069085|3|Durham
931578|1|Durham
786328|4|Oxford
860794|3|Oxford
1318545|3|Durham
452730|4|Oxford
639751|3|Oxford
964424|3|Durham
717701|3|Oxford
1747747|1|Cambridge
1152157|3|Durham
148346|2|London
87568|3|London
1007532|4|Durham
1167360|3|Durham
1573055|1|Cambridge
1199033|4|Durham
1401248|3|Cambridge
266829|2|London
1687252|4|Cambridge
747091|3|Oxford
868375|3|Oxford
959392|3|Durham
1109388|3|Durham
791879|2|Oxford
1450133|2|Cambridge
1702815|3|Cambridge
644708|3|Oxford
495205|3|Oxford
149759|2|London
1697539|1|Cambridge
922271|4|Durham
604532|1|Oxford
982014|1|Durham
21880|3|London
83451|2|London
1341630|4|Durham
1398383|4|Cambridge
374029|4|London
925969|1|Durham
818030|4|Oxford
1113534|3|Durham
202013|3|London
1233024|4|Durham
370522|3|London
587714|3|Oxford
1007255|4|Durham
299529|3|London
1360648|1|Cambridge
275260|3|London
103233|3|London
1522891|3|Cambridge
5538|2|London
1272852|3|Durham
1156203|1|Durham
72969|3|London
478411|3|Oxford
785586|2|Oxford
444857|2|London
951532|3|Durham
927339|4|Durham
1700921|2|Cambridge
696033|3|Oxford
501874|3|Oxford
1762703|3|Cambridge
827395|3|Oxford
1406940|3|Cambridge
396528|3|London
29683|4|London
868829|3|Oxford
440299|3|London
1121511|1|Durham
1258871|2|Durham
367916|2|London
944231|2|Durham
886760|3|Oxford
1768215|4|Cambridge
77752|2|London
1246855|2|Durham
584133|1|Oxford
925139|2|Durham
954006|2|Durham
1585159|3|Cambridge
1067817|3|Durham
958120|2|Durham
382142|4|London
89737|3|London
950890|2|Durham
1553380|3|Cambridge
868725|4|Oxford
1408547|4|Cambridge
22723|3|London
786696|2|Oxford
1133428|4|Durham
1070674|3|Durham
1442164|3|Cambridge
1167416|3|Durham
1163108|3|Durham
244800|4|London
1392144|2|Cambridge
1103700|3|Durham
1544920|2|Cambridge
1778380|3|Cambridge
1715418|4|Cambridge
721144|3|Oxford
1240336|2|Durham
1106018|3|Durham
295677|2|London
1683750|3|Cambridge
1171113|1|Durham
1778005|3|Cambridge
29252|1|London
819684|3|Oxford
1225337|1|Durham
503310|4|Oxford
1099518|3|Durham
1476392|4|Cambridge
1365764|4|Cambridge
238837|3|London
728074|3|Oxford
122231|3|London
456636|3|Oxford
1281584|2|Durham
534114|2|Oxford
72259|3|London
194732|4|London
518100|3|Oxford
256466|3|London
835402|3|Oxford
124945|4|London
942914|2|Durham
817287|1|Oxford
502222|3|Oxford
957913|3|Durham
1742634|4|Cambridge
1273747|3|Durham
1215918|3|Durham
1138631|4|Durham
1607091|3|Cambridge
133468|2|London
1700519|4|Cambridge
1066599|2|Durham
556755|3|Oxford
271359|3|London
877614|3|Oxford
275237|4|London
1200262|3|Durham
1274461|4|Durham
1668671|3|Cambridge
1768801|4|Cambridge
1794246|3|Cambridge
1235140|3|Durham
1145347|3|Durham
1126381|3|Durham
479665|3|Oxford
1618442|3|Cambridge
413186|2|London
484465|3|Oxford
1257611|3|Durham
199685|3|London
9675|2|London
1561555|4|Cambridge
798333|3|Oxford
1786757|3|Cambridge
1209755|3|Durham
1510845|3|Cambridge
529499|3|Oxford
585773|1|Oxford
93411|3|London
1243537|3|Durham
986698|1|Durham
1447641|3|Cambridge
16899|4|London
1022868|1|Durham
466787|3|Oxford
866029|3|Oxford
1188954|1|Durham
1548005|4|Cambridge
44426|3|London
170668|4|London
938524|3|Durham
939861|3|Durham
461224|4|Oxford
338018|3|London
1150040|4|Durham
99822|2|London
1081808|2|Durham
1304355|4|Durham
679218|1|Oxford
1078929|3|Durham
1462931|1|Cambridge
1539943|3|Cambridge
142604|2|London
1058150|3|Durham
1106270|2|Durham
1102310|3|Durham
984322|3|Durham
130796|1|London
753453|3|Oxford
287615|3|London
409600|3|London
1234833|4|Durham
655754|1|Oxford
791453|2|Oxford
1754412|3|Cambridge
514483|2|Oxford
647131|4|Oxford
615335|2|Oxford
459425|4|Oxford
405081|4|London
1406732|2|Cambridge
475959|1|Oxford
164037|3|London
1474054|3|Cambridge
770328|3|Oxford
408081|3|London
548865|2|Oxford
1122457|3|Durham
69172|3|London
150803|3|London
482441|2|Oxford
251436|3|London
1634882|3|Cambridge
768710|3|Oxford
1075745|3|Durham
682270|2|Oxford
356507|4|London
1291323|3|Durham
1004902|3|Durham
656195|3|Oxford
1376725|3|Cambridge
1285116|4|Durham
1033154|3|Durham
1091225|4|Durham
1288866|3|Durham
646243|1|Oxford
973153|2|Durham
800878|4|Oxford
1404973|3|Cambridge
1355229|4|Cambridge
421259|3|London
1445889|4|Cambridge
1593460|1|Cambridge
1005782|2|Durham
608167|3|Oxford
668364|3|Oxford
1501435|4|Cambridge
1381592|3|Cambridge
260588|4|London
1234152|2|Durham
1593542|4|Cambridge
367199|3|London
949810|1|Durham
690405|3|Oxford
873666|2|Oxford
7687|2|London
415422|3|London
672523|3|Oxford
559196|1|Oxford
1661347|1|Cambridge
1023842|1|Durham
487572|4|Oxford
899634|2|Durham
295135|3|London
1645913|2|Cambridge
540724|1|Oxford
1283865|2|Durham
1481772|4|Cambridge
694001|2|Oxford
1129588|3|Durham
505684|1|Oxford
126849|3|London
1248222|3|Durham
1719575|4|Cambridge
1262444|3|Durham
845998|4|Oxford
896238|3|Oxford
966926|3|Durham
1162092|4|Durham
1599536|2|Cambridge
116137|1|London
1445857|4|Cambridge
840154|4|Oxford
76809|4|London
1330639|3|Durham
1124544|2|Durham
947138|3|Durham
1497731|3|Cambridge
383605|3|London
94049|3|London
1140272|1|Durham
985371|3|Durham
295491|3|London
1696887|3|Cambridge
872672|3|Oxford
602705|3|Oxford
1104683|3|Durham
145175|1|London
150619|3|London
1606208|3|Cambridge
320553|4|London
67915|3|London
390767|3|London
1472119|3|Cambridge
502037|3|Oxford
870911|4|Oxford
1349264|3|Cambridge
1467874|3|Cambridge
172867|3|London
100349|1|London
113793|2|London
1579258|3|Cambridge
690055|3|Oxford
1454088|3|Cambridge
1006088|2|Durham
622537|3|Oxford
695852|3|Oxford
766237|4|Oxford
1205334|3|Durham
361427|3|London
1283381|2|Durham
486297|2|Oxford
1237724|2|Durham
57304|4|London
1765568|3|Cambridge
1439272|3|Cambridge
826392|1|Oxford
1142035|2|Durham
531020|2|Oxford
868678|4|Oxford
1566228|3|Cambridge
45309|3|London
60266|3|London
467097|3|Oxford
37575|3|London
202063|2|London
857163|2|Oxford
91649|3|London
1574710|3|Cambridge
342323|4|London
1561880|2|Cambridge
134476|2|London
902033|3|Durham
1012820|3|Durham
1002239|2|Durham
1501411|4|Cambridge
121784|1|London
337987|3|London
1280595|3|Durham
1431785|2|Cambridge
638776|3|Oxford
737594|3|Oxford
784612|4|Oxford
1323924|4|Durham
229438|2|London
368274|3|London
934509|3|Durham
319582|4|London
230387|3|London
1613432|3|Cambridge
144573|3|London
356356|3|London
1003635|1|Durham
1724432|3|Cambridge
1615878|3|Cambridge
1123611|3|Durham
1373965|4|Cambridge
158081|2|London
1261993|4|Durham
1750889|3|Cambridge
1565892|3|Cambridge
191806|3|London
406663|4|London
959552|3|Durham
1245319|3|Durham
204837|3|London
1668024|1|Cambridge
766501|3|Oxford
1540588|3|Cambridge
30812|3|London
1493879|3|Cambridge
1415735|3|Cambridge
1770405|2|Cambridge
146754|3|London
1267333|3|Durham
272370|3|London
1293345|3|Durham
1032609|3|Durham
354902|3|London
804888|3|Oxford
388901|2|London
859657|3|Oxford
516718|3|Oxford
557556|3|Oxford
1083022|2|Durham
456830|3|Oxford
519083|2|Oxford
1678915|4|Cambridge
1191721|3|Durham
1660247|3|Cambridge
114589|2|London
888661|3|Oxford
359191|1|London
419565|3|London
793821|4|Oxford
107165|2|London
745209|4|Oxford
257862|4|London
318110|1|London
1198078|3|Durham
1731306|4|Cambridge
74674|3|London
452792|2|Oxford
239039|4|London
39099|4|London
180705|2|London
264164|1|London
1185551|3|Durham
235979|3|London
39560|2|London
229335|1|London
1236754|4|Durham
1119225|4|Durham
1154186|4|Durham
351457|2|London
1654431|4|Cambridge
1145876|2|Durham
844186|2|Oxford
239487|2|London
703777|3|Oxford
1210914|3|Durham
286003|4|London
1144716|3|Durham
1539463|2|Cambridge
455218|1|Oxford
1768768|3|Cambridge
1690332|2|Cambridge
523035|1|Oxford
41481|2|London
426736|1|London
1007863|3|Durham
52666|4|London
119621|3|London
123919|3|London
508711|2|Oxford
510885|4|Oxford
1701526|3|Cambridge
1600524|1|Cambridge
1474775|2|Cambridge
446727|3|London
269340|3|London
314986|3|London
678745|3|Oxford
84695|4|London
2326|4|London
322905|4|London
1025280|1|Durham
602302|4|Oxford
402506|2|London
1126005|1|Durham
134817|3|London
789882|4|Oxford
1264448|4|Durham
1706829|2|Cambridge
1292198|3|Durham
810291|3|Oxford
924869|2|Durham
1093365|1|Durham
769952|2|Oxford
121416|3|London
336383|1|London
1724348|1|Cambridge
629494|3|Oxford
1552341|4|Cambridge
1552469|3|Cambridge
622920|3|Oxford
349206|3|London
1339955|3|Durham
1035275|1|Durham
183297|2|London
794200|4|Oxford
973277|3|Durham
922438|2|Durham
1489041|3|Cambridge
1339916|4|Durham
429080|1|London
636450|4|Oxford
183479|3|London
1274955|4|Durham
314943|3|London
1105325|3|Durham
969647|2|Durham
243258|2|London
275337|3|London
1650267|2|Cambridge
1226197|3|Durham
285134|2|London
573856|3|Oxford
798563|3|Oxford
289770|3|London
238499|3|London
1770777|3|Cambridge
717840|3|Oxford
1236005|4|Durham
62290|3|London
1532594|4|Cambridge
971880|2|Durham
307475|3|London
82545|4|London
391820|1|London
51169|4|London
713074|3|Oxford
732881|3|Oxford
915111|3|Durham
993277|4|Durham
1375921|3|Cambridge
387473|3|London
982018|4|Durham
75592|3|London
1563607|3|Cambridge
818612|3|Oxford
1533593|4|Cambridge
1274785|1|Durham
302166|3|London
1261321|2|Durham
818412|3|Oxford
1136416|4|Durham
509963|2|Oxford
871185|3|Oxford
554103|4|Oxford
1086080|4|Durham
1041399|4|Durham
83771|1|London
1398901|3|Cambridge
17078|2|London
1445572|3|Cambridge
91315|3|London
1236045|3|Durham
1329826|3|Durham
959134|3|Durham
547471|3|Oxford
1677242|3|Cambridge
390827|1|London
106765|3|London
1747318|2|Cambridge
857708|2|Oxford
1646743|3|Cambridge
837116|4|Oxford
1126565|4|Durham
1229098|2|Durham
604498|4|Oxford
606056|3|Oxford
454641|1|Oxford
610512|3|Oxford
93647|3|London
94493|2|London
1522126|3|Cambridge
38811|3|London
657519|3|Oxford
983401|3|Durham
102797|1|London
140278|1|London
672127|3|Oxford
208544|4|London
1483624|3|Cambridge
546456|3|Oxford
276498|3|London
648822|4|Oxford
937489|1|Durham
733749|3|Oxford
977376|3|Durham
1766972|3|Cambridge
321067|3|London
437440|1|London
448598|3|London
680601|3|Oxford
918138|4|Durham
1123424|3|Durham
938740|3|Durham
1770502|3|Cambridge
4104|3|London
168593|4|London
1353934|3|Cambridge
314490|3|London
1185932|3|Durham
279563|2|London
865506|3|Oxford
1308450|3|Durham
1051042|3|Durham
1423292|4|Cambridge
1560879|4|Cambridge
598828|2|Oxford
1290716|4|Durham
1649950|2|Cambridge
1131862|2|Durham
403711|2|London
569997|4|Oxford
8047|4|London
93756|2|London
1392781|4|Cambridge
1266861|1|Durham
719827|3|Oxford
714942|2|Oxford
458525|3|Oxford
47059|4|London
1396867|3|Cambridge
720942|3|Oxford
1726287|2|Cambridge
222041|3|London
1720952|4|Cambridge
1372565|3|Cambridge
551141|2|Oxford
30358|2|London
201542|3|London
1489895|3|Cambridge
920315|3|Durham
1290081|1|Durham
1152955|2|Durham
1258603|3|Durham
264442|3|London
1299184|1|Durham
381000|3|London
1356559|3|Cambridge
1609060|4|Cambridge
702149|1|Oxford
1658212|4|Cambridge
1088385|2|Durham
1684889|4|Cambridge
607952|2|Oxford
12986|3|London
1473931|3|Cambridge
826051|1|Oxford
1383931|1|Cambridge
982058|3|Durham
1283921|2|Durham
1569330|2|Cambridge
710550|3|Oxford
727576|1|Oxford
316101|2|London
753303|3|Oxford
1280771|4|Durham
206589|3|London
1018501|3|Durham
331218|2|London
258683|3|London
503977|4|Oxford
256361|2|London
295881|3|London
1238763|3|Durham
783575|3|Oxford
997540|3|Durham
1636072|3|Cambridge
1229238|4|Durham
740138|2|Oxford
814863|1|Oxford
1674212|3|Cambridge
745729|4|Oxford
1699165|2|Cambridge
1470479|4|Cambridge
283473|3|London
1437077|4|Cambridge
1504541|4|Cambridge
578154|4|Oxford
120330|1|London
516529|3|Oxford
1492341|3|Cambridge
228335|4|London
918368|2|Durham
511889|3|Oxford
171042|2|London
727498|3|Oxford
1385159|3|Cambridge
1221192|3|Durham
839140|3|Oxford
1757031|4|Cambridge
782009|3|Oxford
1114981|3|Durham
1687507|4|Cambridge
1622392|3|Cambridge
1374774|3|Cambridge
951991|1|Durham
328754|3|London
43273|2|London
882025|3|Oxford
1234588|3|Durham
389704|4|London
510302|1|Oxford
339455|3|London
1434379|3|Cambridge
112481|3|London
279557|4|London
1666481|3|Cambridge
656501|1|Oxford
797620|1|Oxford
136558|1|London
1708838|4|Cambridge
815776|1|Oxford
1045596|3|Durham
1322054|4|Durham
810330|3|Oxford
1157468|2|Durham
1298209|1|Durham
119374|3|London
9107|3|London
1473054|3|Cambridge
